dataset,base_variable,physical_symbol,physical_description,engine_area,importance_sum,importance_normalized,rank_in_dataset,n_derived_features
FD004,sensor_7,P30,Total pressure at HPC outlet.,HPC,0.007070061910781078,0.007070062602056453,12,26
FD004,sensor_16,farB,Burner fuel-air ratio.,combustor,0.0051695277652470395,0.005169528270697669,13,14
FD004,sensor_21,W32,LPT coolant bleed.,LPT cooling/bleed,0.00474182928155642,0.004741829745188826,14,14
FD004,condition,condition,Inferred operating condition from settings.,operating condition,0.004414215269207489,0.004414215700807431,15,49
FD004,sensor_6,P15,Total pressure in bypass duct.,bypass,0.00415794704167638,0.0041579474482196935,16,14
FD004,setting_1,setting_1,Operational setting associated with flight regime.,operating condition,0.0037596187612507492,0.0037596191288475117,17,7
FD004,sensor_18,Nf_dmd,Demanded fan speed.,control system,0.0032518950174562633,0.0032518953354103313,18,14
FD004,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,0.003200328348611947,0.003200328661524084,19,14
FD004,sensor_10,epr,Engine pressure ratio.,global engine pressure,0.0019207418954465538,0.0019207420832471121,20,14
FD004,setting_2,setting_2,Operational setting associated with flight regime.,operating condition,0.0012664526148000732,0.0012664527386274905,21,7
FD004,sensor_1,T2,Total temperature at fan inlet.,inlet/fan,0.00043944364733761176,0.0004394436903042188,22,14
FD004,sensor_5,P2,Pressure at fan inlet.,inlet/fan,0.0004012165009044111,0.0004012165401333585,23,14
FD004,setting_3,setting_3,Operational setting associated with flight regime.,operating condition,0.00019342252926435322,0.00019342254817624296,24,7
FD004,sensor_19,PCNfR_dmd,Demanded corrected fan speed.,control system,0.0,0.0,25,14
