dataset,base_variable,physical_symbol,physical_description,engine_area,baseline_mae,perturbed_mae,delta_mae,baseline_rmse,perturbed_rmse,delta_rmse,baseline_r2,perturbed_r2,delta_r2,baseline_cmapss_score,perturbed_cmapss_score,delta_cmapss_score,baseline_dangerous_error_pct,perturbed_dangerous_error_pct,delta_dangerous_error_pct,mean_abs_prediction_shift,n_perturbed_features
FD002,sensor_13,NRf,Corrected fan speed.,fan/spool,16.61884540940804,17.738460776428457,1.119615367020419,25.280092935385433,26.158838469705866,0.8787455343204336,0.7790290352968239,0.7633999720627465,-0.015629063234077423,5349.925447634689,6182.888838295788,832.9633906610998,5.019305019305019,4.633204633204633,-0.3861003861003862,3.2643401622772217,24
FD002,sensor_17,htBleed,Bleed enthalpy.,bleed system,16.61884540940804,17.52214004818537,0.9032946387773322,25.280092935385433,26.008699750948953,0.7286068155635199,0.7790290352968239,0.7661081109139265,-0.01292092438289738,5349.925447634689,5966.645803583178,616.7203559484897,5.019305019305019,5.7915057915057915,0.7722007722007724,2.565300941467285,24
FD002,sensor_7,P30,Total pressure at HPC outlet.,HPC,16.61884540940804,17.174737670706968,0.5558922612989292,25.280092935385433,25.931943837885836,0.6518509025004029,0.7790290352968239,0.7674865800548856,-0.01154245524193831,5349.925447634689,5817.724787451216,467.7993398165272,5.019305019305019,5.405405405405405,0.3861003861003862,2.148052453994751,26
FD002,sensor_9,Nc,Physical core speed.,core spool,16.61884540940804,17.063408477886302,0.44456306847826355,25.280092935385433,25.796158403703284,0.5160654683178514,0.7790290352968239,0.7699151891120002,-0.009113846184823693,5349.925447634689,5793.561768737971,443.63632110328217,5.019305019305019,5.7915057915057915,0.7722007722007724,2.3185229301452637,26
FD002,sensor_2,T24,Total temperature at LPC outlet.,LPC,16.61884540940804,17.36298858244907,0.7441431730410315,25.280092935385433,26.025417513327806,0.7453245779423732,0.7790290352968239,0.7658073341941297,-0.013221701102694161,5349.925447634689,5783.4843364222115,433.55888878752285,5.019305019305019,4.633204633204633,-0.3861003861003862,3.142894744873047,25
FD002,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,16.61884540940804,16.947410756556685,0.32856534714864694,25.280092935385433,25.564996724429275,0.2849037890438417,0.7790290352968239,0.7740203341214563,-0.005008701175367558,5349.925447634689,5577.098836679108,227.1733890444193,5.019305019305019,5.405405405405405,0.3861003861003862,1.9069640636444092,24
FD003,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,10.820275273623713,16.93992397602848,6.119648702404769,14.555132153165431,21.5367121900736,6.98158003690817,0.8763701163002854,0.7293238669579925,-0.14704624934229293,394.76291534675,922.9080935404892,528.1451781937392,9.0,19.0,10.0,13.596590648331912,7
FD003,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,10.820275273623713,12.824505890550903,2.00423061692719,14.555132153165431,17.296891961159375,2.741759807993944,0.8763701163002854,0.8254068099091526,-0.05096330639113278,394.76291534675,697.2486061777569,302.4856908310069,9.0,14.000000000000002,5.000000000000002,4.868359623653165,17
FD003,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,10.820275273623713,13.517237904874705,2.696962631250992,14.555132153165431,17.17959049704459,2.6244583438791587,0.8763701163002854,0.8277668399826512,-0.04860327631763417,394.76291534675,590.1063419165664,195.34342656981642,9.0,15.0,6.0,7.4271683938451805,7
FD003,sensor_14,NRc,Corrected core speed.,core spool,10.820275273623713,11.885243885809757,1.0649686121860444,14.555132153165431,16.015295276239176,1.4601631230737446,0.8763701163002854,0.8503209371995334,-0.026049179100751996,394.76291534675,495.2358992422457,100.4729838954957,9.0,10.0,1.0,4.117036855531419,19
