n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns,config_index,hyperparameter_search_label,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
100,20,13.519199255380762,18.60072554224798,0.8077850051677575,479.12379319002883,4.791237931900288,1.0,21.0,-7.767282274337362,33.27425371597607,39.100020121968875,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",5,search_05,1.0,0.03,-1,20,1300,31,1.0,10.0,1.0
100,20,11.496814536236961,15.047969371774942,0.8741992321034018,399.8129501895201,3.998129501895201,8.0,6.0,-0.12564095105096512,27.05106947327352,31.346605734617086,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",5,search_05,1.0,0.03,-1,20,1300,31,1.0,10.0,1.0
100,20,12.61611709200597,17.333982284952246,0.8330739211916454,470.1662699477337,4.701662699477337,5.0,17.0,-4.242824078419953,29.309497789520687,36.450703087636946,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",5,search_05,1.0,0.03,-1,20,1300,31,1.0,10.0,1.0
100,20,11.903521110839284,15.322265100277296,0.8695712178871247,347.78185581902386,3.4778185581902386,7.000000000000001,10.0,-0.9672103737442247,27.305364791258295,31.708128988433067,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",5,search_05,1.0,0.03,-1,20,1300,31,1.0,10.0,1.0
100,20,11.87979249318292,16.30788950872263,0.8522515220951635,492.76900460513906,4.92769004605139,6.0,12.0,-2.4739137718923416,27.197251063326956,36.12533881059604,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",5,search_05,1.0,0.03,-1,20,1300,31,1.0,10.0,1.0
100,20,13.203144818101828,18.459452977596037,0.8106936643155116,458.1665908270138,4.581665908270138,2.0,22.0,-8.001841685921596,32.57109886377031,40.0484658026451,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",6,search_06,0.7,0.03,-1,20,1300,31,0.0,5.0,0.8
100,20,11.360995249170943,15.154135297467445,0.8724178796589174,403.5000615544835,4.035000615544835,8.0,7.000000000000001,-0.7334681765808458,23.450021405716356,36.42292986144081,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",6,search_06,0.7,0.03,-1,20,1300,31,0.0,5.0,0.8
100,20,12.42876360328801,16.954028921325172,0.8403116129638164,435.6789075961353,4.356789075961353,4.0,17.0,-4.104263393273604,26.53399275134191,35.63225967511961,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",6,search_06,0.7,0.03,-1,20,1300,31,0.0,5.0,0.8
100,20,11.558684890148067,14.732767222210754,0.8794142055423069,316.3866074032074,3.163866074032074,5.0,10.0,-0.7982993139762187,24.55819103000047,31.80230016840192,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",6,search_06,0.7,0.03,-1,20,1300,31,0.0,5.0,0.8
100,20,11.400573918701236,15.632207476354472,0.8642411607867819,408.6454257076047,4.086454257076047,6.0,12.0,-2.5258104197986726,26.74355987039841,32.0567487897497,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",6,search_06,0.7,0.03,-1,20,1300,31,0.0,5.0,0.8
100,20,13.018641428978405,18.23307273491024,0.8153083659130405,440.6069393740286,4.406069393740286,1.0,21.0,-8.012156557540415,34.2653902738026,39.2153749255584,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",7,search_07,0.7,0.03,-1,10,1300,15,1.0,5.0,0.9
100,20,11.379125449090226,15.054955503835641,0.8740823970986271,386.8964016503479,3.868964016503479,10.0,6.0,-0.8904256291513412,24.95562623957065,32.719708902602946,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",7,search_07,0.7,0.03,-1,10,1300,15,1.0,5.0,0.9
100,20,12.422491587839897,17.314001333992067,0.8334585321147339,462.63649700497115,4.626364970049711,4.0,15.0,-5.0116825052126615,29.653921110361583,36.269730590628015,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",7,search_07,0.7,0.03,-1,10,1300,15,1.0,5.0,0.9
100,20,11.826619556777427,15.093599228081146,0.8734351457455934,330.19348201237744,3.3019348201237744,6.0,9.0,-1.3781119873155705,24.696073374201898,30.151179310978204,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",7,search_07,0.7,0.03,-1,10,1300,15,1.0,5.0,0.9
100,20,11.747130100623291,15.94200734095422,0.858806889967201,408.19905505146204,4.081990550514621,6.0,13.0,-3.2453010548252643,27.58796850608069,32.64338902398985,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",7,search_07,0.7,0.03,-1,10,1300,15,1.0,5.0,0.9
100,20,13.457292406168659,18.76138341067627,0.8044502736208896,478.70723939189287,4.787072393918929,2.0,22.0,-8.122937772881183,33.887801857476596,45.129098176229576,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",8,search_08,0.7,0.03,-1,20,1300,7,0.5,10.0,0.9
100,20,12.654921874773718,16.514330496423668,0.8484871601416062,510.0169167286246,5.100169167286246,10.0,9.0,-0.6525796924448047,28.83126717440698,36.26389126726223,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",8,search_08,0.7,0.03,-1,20,1300,7,0.5,10.0,0.9
100,20,13.071065155641213,17.732762376576275,0.825305076942156,510.81691739545,5.1081691739545,6.0,16.0,-4.40650023271993,27.66175127141175,38.049679945791226,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",8,search_08,0.7,0.03,-1,20,1300,7,0.5,10.0,0.9
100,20,11.469575576774862,15.225940489652183,0.8712059645586501,330.8497672135812,3.308497672135812,6.0,11.0,-2.5998826318573713,23.680539712231774,31.31510435894059,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",8,search_08,0.7,0.03,-1,20,1300,7,0.5,10.0,0.9
100,20,12.006398377312753,16.323760781975537,0.8519637966293541,420.76299060714916,4.2076299060714915,6.0,11.0,-3.383648027774332,30.294211449572373,33.401772906688954,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",8,search_08,0.7,0.03,-1,20,1300,7,0.5,10.0,0.9
100,20,12.675861678675217,17.88671534202163,0.822258563485271,424.54213722588366,4.2454213722588365,2.0,22.0,-7.787122472561805,32.20976917784798,39.43351476220624,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",9,search_09,0.8,0.03,-1,40,1300,15,0.5,20.0,0.9
100,20,11.390028928934642,15.185641194256384,0.8718868341773909,388.6858917990541,3.886858917990541,10.0,8.0,-1.136475813179393,24.096486555952122,30.58798995172678,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",9,search_09,0.8,0.03,-1,40,1300,15,0.5,20.0,0.9
100,20,12.71135448830871,17.571868657375127,0.8284607954933099,484.7234464038219,4.84723446403822,4.0,15.0,-4.720886311056957,29.215260307892418,36.04955097206215,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",9,search_09,0.8,0.03,-1,40,1300,15,0.5,20.0,0.9
100,20,12.156622418658488,15.561688035163037,0.8654632586090354,352.8957416875497,3.528957416875497,8.0,9.0,-1.1340015287136058,23.57341843725441,32.27340696288582,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",9,search_09,0.8,0.03,-1,40,1300,15,0.5,20.0,0.9
