n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns
100,20,15.33071185551087,21.356485313585804,0.746611408361441,648.962824713017,6.489628247130169,0.0,25.0,-9.534969977404307,40.355935927761465,43.869043847935764,fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.756108888524755,21.83318101230979,0.7351734482687307,698.2894497426724,6.982894497426725,1.0,23.0,-10.909617686387538,40.26188226033242,43.5001064775017,fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,16.59302452354686,23.059967342579252,0.7045766145328769,782.9827704224319,7.82982770422432,0.0,30.0,-12.50502048393745,42.545744650042344,46.49895431811132,fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.789867702270245,21.214713110194236,0.7499644153623071,605.7173896233362,6.057173896233362,3.0,25.0,-8.515312962850805,40.21344864544969,41.002384307309406,fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,16.627910278887907,23.018354466077277,0.7056418653744557,908.914384813711,9.089143848137109,1.0,26.0,-11.052491929712655,41.99070496550426,43.7944275927345,fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,14.893358878214768,21.220492593293578,0.7498281633877624,765.5401869860805,7.655401869860805,0.0,22.0,-9.440144119427714,40.60832681398524,42.14624222241926,fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.987532174260567,22.220804048820757,0.725686593013284,757.5508940958715,7.5755089409587155,2.0,22.0,-9.783313162950721,40.901489643238506,43.35881727387796,fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.090934172788996,16.946962094629672,0.840444708757325,412.1017633452447,4.121017633452447,3.0,15.0,-4.779383512871559,29.042439093584406,40.50781759342867,fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.604723707016646,16.746320503050818,0.8442004164494998,1224.3739902331968,12.243739902331967,15.0,3.0,4.957686345713913,28.16560328040777,38.918560699710525,fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.956378531991867,17.40915828692483,0.8316228931893315,580.0028848373959,5.800028848373959,10.0,11.0,0.01673715476366162,30.499664084626495,37.48213199576587,fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.892884101828134,15.870572141383184,0.8600694110584177,472.2151679278761,4.7221516792787614,18.0,5.0,4.317290544252427,27.63668432524981,34.88368571755893,fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.02516547468479,17.099676404454204,0.8375561482571956,929.7320158125427,9.297320158125427,15.0,7.000000000000001,2.513203669996809,27.6296962510634,37.418832018753534,fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.14289452101217,16.969544818557587,0.8400191936949808,414.7607788103519,4.147607788103519,3.0,18.0,-5.336201751982416,29.807559502824454,36.63138089396964,fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.082495006989342,17.34085600718945,0.8329415071877342,1118.9212810664385,11.189212810664385,17.0,6.0,4.486236285843742,31.16006732878025,39.73891189354874,fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.542233556920662,17.84103553290644,0.82316525061865,629.5703982173286,6.295703982173286,9.0,14.000000000000002,-1.1030284576730887,28.6573253452546,35.66282767287187,fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.668939204491448,15.910252877568523,0.8593688074287903,470.0164999987971,4.700164999987971,14.000000000000002,6.0,3.5016960471643728,30.67294366654898,33.30840816085463,fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.339295558986699,17.36300933109876,0.8325143927600985,730.1571244484068,7.301571244484068,9.0,10.0,0.3224472978341433,28.127489011380202,40.71101612563699,fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.558557648028495,16.86787027874698,0.8419305290329802,399.43025887646536,3.9943025887646537,8.0,18.0,-2.9791569824518085,26.71128884141574,39.91253057165539,fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.814432637351622,16.79345060768731,0.8433222314928704,895.1023920335103,8.951023920335103,15.0,4.0,6.313093802618696,29.687999310613897,36.12124006504158,fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.402155239290959,17.821782804313052,0.8235466987088287,711.0541061562639,7.110541061562639,9.0,11.0,1.123909891570788,28.171985561379877,38.631628403229286,fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.028968386075581,16.429062198222052,0.8500477307149729,688.165265950402,6.88165265950402,15.0,3.0,4.874544649424904,32.22889751794327,34.73340869086043,fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.328207719964043,17.47344108771241,0.8303771425301354,863.4482511779835,8.634482511779835,15.0,7.000000000000001,3.470163349098972,29.587830552011834,37.823811153096145,fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.54597602393065,18.371098384583494,0.8125015245244187,442.9237395983126,4.429237395983126,2.0,21.0,-8.12908081181732,31.206908560256867,39.45656953014741,fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.599592540768635,15.21546498384745,0.8713831251807289,368.2857653918023,3.6828576539180227,9.0,9.0,-1.5568080359335883,23.621636993226872,30.64331774622723,fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.244776881521293,18.604164293292673,0.807713928304541,647.0993591807082,6.4709935918070824,5.0,17.0,-5.320725216637132,28.879734191888158,38.474194626722195,fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.81315895901537,15.16490069333566,0.8722365483118153,320.0658539904955,3.200658539904955,6.0,11.0,-2.2256697227055287,24.03920754042586,30.4354893764904,fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.664444076691375,16.168380004362767,0.8547686044636236,389.6571550046899,3.896571550046899,5.0,15.0,-3.8345269743914216,28.984144356680524,32.92961090653168,fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.576660991109067,18.663320903551924,0.806489140472801,454.66775215954397,4.54667752159544,1.0,22.0,-9.03221612262468,35.77720922930813,40.98223547895801,fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,10.938710963347742,14.503232273942197,0.8831423631156008,346.6671719379359,3.466671719379359,6.0,8.0,-1.686687521204156,23.04662090738781,27.101690199578048,fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.036384014921955,18.3301130230613,0.813337198089888,584.3655526439338,5.843655526439338,3.0,20.0,-5.813737843989333,30.55499774333299,38.79025590345805,fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.354923766208167,14.931820408205303,0.8761337440539465,306.1234768016367,3.0612347680163667,6.0,14.000000000000002,-2.738233216298084,26.39021782898868,30.60688431659061,fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.384749293559656,17.5148580314794,0.8295720822984008,533.6726277977698,5.336726277977698,5.0,16.0,-4.671668267140874,32.695574246716156,38.6596770457527,fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.680247804512355,18.505795248531115,0.8097419678996907,478.2934404051358,4.782934404051358,7.000000000000001,21.0,-6.999532952329247,30.6139011889822,38.49115106180756,fd003_lgbm_w50_cap125_quantile_a05_none,short_tuning,50,125,quantile,0.5,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
