model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,n_features,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,mean_abs_error_p90,std_abs_error_p90,mean_abs_error_p95,std_abs_error_p95,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,140,13.259120595753535,1.1369366926610769,17.70182769272824,1.283618777120336,0.8251817525583215,0.02481755521132439,512.3599226095579,92.72452825712004,6.0,3.9370039370059056,15.6,6.5038450166036395,-4.398228225385481,3.4378203380015373,29.703610981096983,2.212519880072386,36.858087013210685,3.46744979772907,19.047046701437015,607.3694298578496,12.0
fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,140,13.25223611096194,1.4067335290884007,17.64335743496475,1.7234165541161623,0.8257421148482627,0.03335147498575297,523.3632551573882,100.64218854104688,8.2,2.949576240750525,15.2,6.760177512462229,-3.73855722081382,3.4119452963439496,29.559428182474228,1.9972614080301756,37.23688216049145,4.068464352399353,19.790405605138403,586.0136765263957,13.0
fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,140,13.233692117405266,1.220647539604284,17.559321661860906,1.6063110086080983,0.8275589081834456,0.030065154155264204,529.8805815391228,141.06751880943085,9.0,2.3452078799117144,14.2,4.207136793592526,-2.5722360554997894,2.9731890905994023,28.65193670972557,1.860842127460839,37.0977150180237,3.6140149427908455,18.869623772597745,702.3657283552932,12.0
fd003_lgbm_w50_cap150_quantile_a04_low_rul_weight,short_tuning,50,150,quantile,0.4,low_rul_weight,base,140,12.155171569680064,0.32617983806877093,17.084939713464152,0.7258963242124584,0.8376018303380508,0.013561530188715414,672.6852165082646,279.2347387433585,10.4,5.366563145999495,10.8,5.215361924162119,0.37422988423735076,3.920575352038383,29.6850769709577,1.2892665347491754,37.210508949376376,3.025040046889268,17.84103553290644,1118.9212810664385,17.0
fd003_lgbm_w50_cap150_regression_none,short_tuning,50,150,regression,,none,base,140,12.226464326142139,0.30011653923989245,17.07712139533636,0.5603181643289762,0.8378448664959575,0.010674836815171514,711.4400548389251,196.67887748100833,12.4,3.5777087639996634,8.6,6.107372593840988,2.5605109420523102,3.640598883355022,29.277600356672924,2.048362997525752,37.44452377677656,2.0460546570396194,17.821782804313052,895.1023920335103,15.0
fd003_lgbm_w50_cap150_quantile_a04_none,short_tuning,50,150,quantile,0.4,none,base,140,11.914017197662087,0.18812037988648342,16.81453788608854,0.5805468338730034,0.842778715542354,0.010702389382649214,723.6851644312512,344.2784402522515,12.2,5.890670590009257,8.2,4.8166378315169185,1.4051068403710505,3.953005342901319,28.594817406986373,1.2106308948242865,37.8422056050435,2.0812115272567997,17.40915828692483,1224.3739902331968,18.0
fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,140,16.194297404791737,0.8674897783728327,22.227324345946776,1.0746604358647711,0.7250122979878618,0.02669822283690883,738.6831458720393,131.11662827898314,1.0,1.224744871391589,25.8,2.7748873851023217,-11.012983486510006,1.8017555962716312,41.40004544641123,2.273518611473441,43.66171924024252,2.3593214727970797,23.38497779606862,932.978478850871,3.0
fd003_lgbm_w50_cap100_regression_none,short_tuning,50,100,regression,,none,base,140,15.97833871143607,0.7093251984110941,22.14686631219302,0.9118373953198553,0.7271395303341371,0.022411466046552097,764.1411251882862,107.77032616613296,1.2,1.3038404810405297,25.0,3.3166247903554,-10.25925653177587,1.5501197156473816,41.25194294364401,0.9791861194285852,43.360165142890494,2.065993859142478,23.059967342579252,908.914384813711,3.0
fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,140,20.682122806928515,10.808554800103474,26.902283940360775,11.21576098849516,0.5420180461952038,0.42777876847617163,13169.518753828792,27918.916033929512,9.4,17.140595088852663,24.6,3.7148351242013415,-4.5532752566265176,13.845638419099737,48.65733424487207,17.561147140437683,50.158875590556114,16.901262718320005,46.9041575982343,63112.19728271455,40.0
fd003_lgbm_w50_cap125_quantile_a05_none,short_tuning,50,125,quantile,0.5,none,base,140,20.12462854278577,17.28822617279414,25.383024651556696,20.435244074318618,0.4564570551316032,0.8844687266397726,153221.96176229493,341616.5930842972,18.6,23.28733561401991,9.2,7.726577508832744,7.410261840991856,21.228648453481444,42.87437965804758,34.81787043337954,47.19675677796666,32.57719612799938,61.84658438426491,764324.2854453691,60.0
