config_index,hyperparameter_search_label,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,num_leaves,min_child_samples,reg_lambda,reg_alpha,subsample,colsample_bytree,learning_rate,n_estimators,max_depth,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,mean_abs_error_p90,std_abs_error_p90,mean_abs_error_p95,std_abs_error_p95,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
4,search_04,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,20,10.0,0.0,1.0,1.0,0.03,1300,-1,12.171503781245928,0.6131055006519057,16.400918271515,1.306139480084726,0.8498028219877426,0.023955431814959478,426.64334406479765,67.46366439428849,5.4,2.701851217221259,13.2,5.630275304103699,-3.265544316084587,2.721017695286339,27.637979504760075,3.062093160595892,34.54066977092758,2.8382859272569028,17.942274355692916,494.8939053767895,8.0
16,search_16,fd003_lgbm_refinement_search_16,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,20,10.0,0.0,0.8,1.0,0.03,1300,-1,12.171503781245928,0.6131055006519057,16.400918271515,1.306139480084726,0.8498028219877426,0.023955431814959478,426.64334406479765,67.46366439428849,5.4,2.701851217221259,13.2,5.630275304103699,-3.265544316084587,2.721017695286339,27.637979504760075,3.062093160595892,34.54066977092758,2.8382859272569028,17.942274355692916,494.8939053767895,8.0
5,search_05,fd003_lgbm_refinement_search_05,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,20,10.0,1.0,1.0,1.0,0.03,1300,-1,12.28308889752918,0.800597224074193,16.52256636159502,1.4695566450698985,0.8473761796890186,0.0274220737869874,437.9307747502891,61.89309231678436,5.4,2.701851217221259,13.2,5.890670590009257,-3.1153742898889694,3.0362796382072395,28.827487366671107,2.652180851881725,34.946159348650404,3.329801128599931,18.60072554224798,492.76900460513906,8.0
18,search_18,fd003_lgbm_refinement_search_18,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,10,5.0,1.0,0.8,0.7,0.03,1300,-1,12.420671142711067,0.8929769464901859,16.742272893306104,1.53467019452874,0.843228960156271,0.028707013537225094,438.589265473791,84.13605005517385,6.2,3.0331501776206204,13.6,4.669047011971501,-3.6839137872471044,2.9843625518223904,29.34334969251418,4.585371107041287,35.798619009505366,4.935424053641188,18.808714210911834,511.5981988600736,11.0
15,search_15,fd003_lgbm_refinement_search_15,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,40,20.0,0.0,0.8,0.7,0.03,1300,-1,12.484439814406864,0.7756438960885177,16.815213452824462,1.2786119892315728,0.8421892875781921,0.023763725196133546,440.2411617279331,81.20511982092187,6.4,2.9664793948382653,13.8,4.658325879540846,-3.7787095103103994,2.6767935902103557,28.96006238625433,2.752180175321263,36.93932791360106,4.307668020091203,18.325700828213375,529.7416058783077,11.0
10,search_10,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,20,10.0,1.0,0.8,0.7,0.03,1300,-1,12.5407040808517,0.8039895767349481,16.8748651316596,1.3619667690641846,0.8409749800023727,0.025496152973140937,446.3476327778541,79.07410465002661,6.2,2.588435821108957,13.4,5.272570530585627,-3.75754517034324,2.674552164671943,29.458065658634062,3.961500255472279,36.336112355530545,4.53805540642727,18.5582875535048,513.150670323781,10.0
8,search_08,fd003_lgbm_refinement_search_08,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,20,10.0,0.5,0.9,0.7,0.03,1300,-1,12.53185067813424,0.8010726676758781,16.911635511060787,1.3638944514109033,0.8402824543785312,0.025827802113320367,450.23076626733956,76.11857157511534,6.0,2.8284271247461903,13.8,5.263078946776307,-3.8331096715355244,2.7645088860071936,28.871114293019893,3.7282224593625366,36.83190933098251,5.311542278696187,18.76138341067627,510.81691739545,10.0
2,search_02,fd003_lgbm_refinement_search_02,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,20,10.0,1.0,0.8,0.8,0.03,1300,-1,12.56832496934791,0.6404931862476796,17.043953836324956,1.207601200052351,0.8379649983880719,0.023038087880728645,468.90008816873177,80.18722542739602,7.2,2.588435821108957,13.4,4.159326868617084,-3.611091955761407,2.7461298230664517,29.567923919847487,3.2658407296169556,36.94768723067325,4.555282172065243,18.43429345722587,574.1252976297892,11.0
22,search_22,fd003_lgbm_refinement_search_22,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,10,20.0,0.0,0.8,1.0,0.03,1300,-1,12.645439722115388,0.8470071434654766,17.10656619671142,1.3990780305198707,0.8365552541606354,0.027045455920350098,471.30066094752857,75.40770670685767,6.0,2.5495097567963922,14.0,3.8078865529319543,-3.5997615474096905,2.7689691471524776,29.978922943766282,3.338646623497054,36.44168832376934,4.167493876497888,19.03314415753009,550.8901709908214,10.0
12,search_12,fd003_lgbm_refinement_search_12,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,7,10,20.0,0.5,1.0,1.0,0.03,1300,-1,12.69399011989779,0.8317873835742688,17.142946159525795,1.3255307064634838,0.835952095360321,0.025330940219631518,474.5638883437099,89.90243209629875,6.2,2.3874672772626644,14.2,4.147288270665544,-3.4844003466992417,2.796758566548133,30.104326444972695,3.2283762361074766,36.033221760681116,4.187033455272502,18.70338221429416,571.9451741310774,10.0
