representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,experiment_stage
temporal_w50_condition_normalized,lgbm_search_04_regression_w50,258,13.799748616170058,17.318902634168037,0.8320420429293264,1267.6874891352213,4.91351739974892,12.015503875968992,lgbm_search_04_regression_w50,lightgbm,condition_normalized,50,125,soft,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":5.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w50_condition_normalized,hgb_search_07_squared_error_w50,258,13.712904601064842,17.16278326964851,0.8350564722719098,1276.1193558661987,4.946199053744956,13.178294573643411,hgb_search_07_squared_error_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w70_condition_normalized,hgb_search_02_squared_error_w70,258,13.245916112505668,16.72377892477681,0.8433866865416803,1295.2286624036874,5.020266133347626,11.24031007751938,hgb_search_02_squared_error_w70,hist_gradient_boosting,condition_normalized,70,125,soft,364,"{""early_stopping"":true,""l2_regularization"":1.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w50_condition_normalized,xgb_search_00_squarederror_w50,258,13.577121808547382,17.184041552662375,0.8346476122741894,1304.97819479493,5.058055018585,12.4031007751938,xgb_search_00_squarederror_w50,xgboost,condition_normalized,50,125,none,364,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":4,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.8}",FD002 condition-normalized XGBoost hyperparameter search.,42,lgbm_xgb_search
temporal_w50_condition_normalized,hgb_search_00_squared_error_w50,258,13.822208833048908,17.328882635138065,0.8318484159345735,1332.2155446343563,5.163626141993629,14.34108527131783,hgb_search_00_squared_error_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":1.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w50_condition_normalized,hist_gb_condition_normalized,258,13.66148908121095,17.260959434682608,0.8331640241065876,1335.9498770995017,5.178100298835277,13.953488372093023,hist_gb_condition_normalized,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.05,""loss"":""squared_error"",""max_iter"":250,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",Condition-aware representation based on FD002 EDA.,42,baseline_model_family
temporal_w50_condition_normalized,xgb_search_02_squarederror_w50,258,13.720911323562149,17.30544082987717,0.8323030454261096,1352.8298625641469,5.24352659908584,14.728682170542635,xgb_search_02_squarederror_w50,xgboost,condition_normalized,50,125,none,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":2,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":10.0,""subsample"":0.8}",FD002 condition-normalized XGBoost hyperparameter search.,42,lgbm_xgb_search
temporal_w70_condition_normalized,hgb_search_05_absolute_error_w70,258,13.465571706492668,16.968416973862496,0.8387712459620529,1452.6321097439322,5.6303570145113655,13.178294573643411,hgb_search_05_absolute_error_w70,hist_gradient_boosting,condition_normalized,70,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""absolute_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w30_condition_normalized,lgbm_search_08_quantile_w30,258,14.279780918602205,18.387154080479235,0.8106833229417031,1600.7448617917378,6.204437448805185,11.627906976744184,lgbm_search_08_quantile_w30,lightgbm,condition_normalized,30,125,none,364,"{""alpha"":0.35,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":40,""n_estimators"":1300,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w50_condition_normalized,extra_trees_condition_normalized,258,15.017321125042551,19.37780708128265,0.7897339781769759,1884.3314369754669,7.303610220835142,15.503875968992247,extra_trees_condition_normalized,extra_trees,condition_normalized,50,125,none,364,"{""max_depth"":18,""min_samples_leaf"":2,""n_estimators"":120}",Nonlinear tree ensemble fallback with condition-normalized features.,42,baseline_model_family
